x_value,a,b,c,d
1,135,361,374,254
2,283,382,160,277
3,274,90,270,121
4,390,2,162,249
5,391,189,84,114
6,155,319,338,77
7,19,357,300,157
8,167,119,385,23
9,114,346,243,217
10,173,375,312,12
11,194,367,290,96
12,52,273,172,174
13,204,9,391,373
14,31,388,355,19
15,208,232,35,213
16,294,74,356,310
17,349,19,158,344
18,128,47,83,94
19,309,211,127,253
20,58,129,325,217
21,328,176,265,253
22,127,372,328,46
23,226,344,225,373
24,39,103,369,103
25,42,78,2,28
26,171,308,80,144
27,38,36,103,281
28,272,94,253,61
29,369,139,135,321
30,113,215,300,223
31,170,314,56,107
32,387,148,117,58
33,356,384,74,187
34,199,379,369,384
35,371,203,2,250
36,42,165,344,195
37,146,279,374,278
38,159,319,167,142
39,325,229,37,236
40,164,230,308,155
41,36,177,3,88
42,178,7,150,182
43,248,350,243,322
44,372,46,250,45
45,43,275,158,194
46,300,96,393,152
47,279,168,398,103
48,154,255,196,4
49,205,253,12,382
50,78,128,371,170
51,11,279,145,337
52,188,308,241,335
53,64,105,164,46
54,323,226,226,219
55,324,138,5,179
56,380,339,356,251
57,139,375,196,253
58,128,379,180,353
59,366,6,204,126
60,345,350,248,217
61,303,173,333,224
62,190,226,396,71
63,282,325,352,338
64,233,240,286,260
65,302,154,280,56
66,134,388,357,17
67,364,261,120,337
68,155,39,365,212
69,26,281,400,115
70,78,349,13,103
71,35,105,50,334
72,325,312,98,333
73,272,71,308,79
74,181,60,208,145
75,106,88,102,153
76,213,373,129,297
77,9,388,102,133
78,175,139,241,383
79,230,268,43,372
80,321,159,264,287
81,83,5,270,284
82,317,313,20,197
83,333,351,164,90
84,62,189,244,361
85,392,104,67,260
86,149,231,41,191
87,142,366,352,158
88,256,143,204,4
89,24,9,48,249
90,66,349,261,391
91,371,307,134,41
92,135,264,281,132
93,244,137,139,341
94,393,218,363,23
95,179,17,104,106
96,359,144,182,118
97,221,305,218,65
98,386,40,356,121
99,229,129,147,383
100,159,172,64,58
101,297,350,382,321
102,125,370,44,350
103,242,111,360,131
104,235,279,309,174
105,360,337,210,327
106,185,266,8,134
107,37,57,324,205
108,8,165,39,199
109,162,150,85,134
110,199,90,212,2
111,21,77,386,99
112,303,318,152,305
113,113,20,1,165
114,260,205,370,285
115,245,201,365,210
116,63,319,99,0
117,380,327,318,268
118,356,88,343,54
119,222,216,67,98
120,375,90,330,142
121,221,155,175,58
122,309,225,125,118
123,393,207,131,193
124,90,209,196,223
125,96,361,62,223
126,337,377,238,206
127,316,40,82,386
128,124,380,8,181
129,393,319,84,366
130,229,164,90,59
131,318,142,176,312
132,14,341,37,152
133,303,218,262,232
134,373,151,271,347
135,180,173,252,51
136,226,24,304,118
137,213,220,204,14
138,34,156,87,254
139,363,126,174,400
140,385,385,148,387
141,302,38,381,124
142,97,155,84,9
143,149,149,74,65
144,164,222,128,368
145,86,372,243,88
146,64,216,181,140
147,365,9,167,262
148,377,51,67,58
149,161,141,114,90
150,342,237,110,320
151,247,179,373,199
152,289,201,6,8
153,170,268,154,385
154,201,68,274,175
155,313,393,343,81
156,51,216,266,234
157,152,207,170,54
158,296,314,235,364
159,157,211,387,304
160,22,258,71,16
161,224,122,73,64
162,319,324,19,0
163,193,138,177,384
164,52,17,114,362
165,196,170,109,237
166,33,40,111,92
167,167,56,207,115
168,330,398,147,148
169,233,17,345,297
170,321,50,370,74
171,142,73,108,32
172,17,380,8,17
173,144,370,231,111
174,227,171,228,84
175,32,377,352,51
176,8,298,184,389
177,224,307,263,39
178,191,125,294,103
179,147,84,75,316
180,76,53,349,212
181,235,321,169,198
182,169,50,169,225
183,330,307,278,329
184,44,16,131,61
185,335,168,177,374
186,83,227,28,309
187,190,169,39,307
188,180,44,176,155
189,7,133,101,38
190,276,130,210,137
191,234,398,44,346
192,327,241,17,264
193,389,330,114,315
194,1,309,110,70
195,322,322,364,398
196,256,63,25,40
197,38,146,141,89
198,154,85,152,194
199,38,160,117,226
200,111,56,116,180
201,110,57,170,297
202,29,397,229,381
203,363,273,68,220
204,106,264,34,12
205,301,67,84,243
206,349,375,377,10
207,331,334,308,89
208,43,55,301,16
209,306,134,196,26
210,161,236,191,274
211,289,50,229,334
212,150,321,387,112
213,292,112,236,149
214,296,50,299,344
215,400,201,357,13
216,207,357,262,242
217,328,270,318,390
218,372,76,92,199
219,84,203,70,147
220,380,364,306,295
221,170,143,357,82
222,4,109,73,282
223,308,43,89,177
224,62,315,250,148
225,347,392,274,324
226,122,391,389,48
227,377,21,98,92
228,159,271,17,329
229,341,260,42,95
230,89,30,20,288
231,377,178,195,296
232,278,217,368,125
233,7,306,375,102
234,40,165,234,169
235,110,28,241,119
236,154,304,303,132
237,369,151,267,43
238,239,175,205,251
239,11,346,393,391
240,31,113,99,129
241,233,332,340,62
242,33,174,314,260
243,54,281,11,384
244,210,347,327,86
245,227,159,230,88
246,63,205,289,107
247,304,10,164,136
248,74,52,280,394
249,31,275,352,161
250,76,211,384,146
251,241,342,47,159
252,192,218,185,27
253,187,180,164,151
254,383,399,354,59
255,253,303,165,50
256,280,196,111,10
257,251,337,158,44
258,386,180,208,261
259,232,179,4,279
260,114,44,276,7
261,304,259,36,138
262,163,335,14,74
263,20,193,244,209
264,115,53,244,149
265,349,25,243,19
266,359,273,252,94
267,96,186,75,161
268,386,297,177,310
269,15,46,246,362
270,24,58,193,75
271,291,307,163,268
272,14,239,367,44
273,302,184,386,57
274,147,319,25,80
275,79,259,292,155
276,216,273,119,94
277,68,364,277,250
278,269,238,130,212
279,368,374,258,399
280,351,144,101,336
281,0,99,187,115
282,275,48,184,290
283,318,16,377,281
284,164,71,26,319
285,275,271,350,10
286,21,386,248,56
287,190,307,313,379
288,181,268,126,39
289,202,143,137,44
290,28,206,306,73
291,12,15,66,14
292,365,197,208,213
293,46,143,64,87
294,127,331,216,390
295,157,139,134,109
296,2,172,317,355
297,93,15,24,15
298,174,232,203,194
299,324,58,370,64
300,356,368,383,92
301,121,356,227,107
302,143,288,373,153
303,305,66,358,259
304,54,197,122,110
305,292,107,132,94
306,160,142,217,126
307,347,321,13,113
308,375,138,215,100
309,398,203,334,76
310,97,375,40,318
311,0,351,41,15
312,276,75,136,72
313,400,223,319,109
314,357,267,132,192
315,80,322,162,146
316,81,144,157,192
317,381,353,370,73
318,240,278,149,268
319,44,81,100,54
320,62,365,14,336
321,369,30,24,17
322,391,287,10,213
323,207,90,360,254
324,357,234,84,249
325,324,103,46,16
326,171,35,308,349
327,71,247,189,99
328,3,180,332,328
329,53,259,163,95
330,61,111,276,273
331,110,367,366,346
332,32,333,374,88
333,399,32,352,344
334,159,166,44,25
335,88,61,89,339
336,177,113,269,147
